ID|Text|Data
1019857520|"@mfriasoficial 2 semanas sem descanso, porque o outro lado vai atacar, vai infernizar, perseguir como um cão raivoso, então, nós, só precisamos intensificar nossa campanha. 
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:50:53+00:00
1247894871404249089|@Jouberth19 @jairbolsonaro 1 - Excelente!!|2022-09-18 18:50:54+00:00
66214031|"@AugustoNPistola Opa..
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:50:59+00:00
1330196565093396492|"@LulaOficial @JanjaLula ""Eu tô é preocupado com a república de Curitiba...""

Lula ""adora"" mesmo Curitiba. 

#LulaLadraoSeuLugarENaPrisao 
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:51:06+00:00
1564098898121072641|"@LulaOficial A inveja de quem não pode sair nas ruas em o ex-presidiário . 
 Que moral você tem de falar da COVID, no seu maldito governo você preferiu construir estádio de futebol do que hospitais.
Seu sem moral 
#LulaLadraoSeuLugarENaPrisao 
#LulaNaCadeia 
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:51:33+00:00
410462157|@DanielC42901179 Sim 2️⃣2️⃣|2022-09-18 18:51:58+00:00
1435210411331231755|@GuilhermeBoulos Kkkkkkkk para de graça invasor... #BolsonaroNoPrimeiroTurno22|2022-09-18 18:51:58+00:00
1436153269802479618|"@LeilaGermano Particularmente eu quero q vc se phod@.
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:52:02+00:00
1117493221469368321|@Jouberth19 @jairbolsonaro 2|2022-09-18 18:52:04+00:00
1052615179702292481|@ThiagoResiste 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 jura que você  acredita? #BolsonaroNoPrimeiroTurno22 #LULANACADEIA|2022-09-18 18:52:06+00:00
30536259|Mais uma vez, a Loud provando que a melhor coisa em 2022 é Fazer o L #FazoL #goLOUD #LulaNo1oturno|2022-09-18 18:52:10+00:00
1254151195909935104|Você deve ser louco né? O Brasil acordou, agora é #BolsonaroNoPrimeiroTurno22 #PTNuncaMais|2022-09-18 18:52:11+00:00
1396108734762455043|@pilasmaracutaia @Nilsonhandebol @LulaOficial Seguindo|2022-09-18 18:52:14+00:00
1479099124968480768|@Glauber_Braga Meu presidente é @LulaOficial #LulaNo1oturno|2022-09-18 18:52:18+00:00
4691963473|@AugustoNPistola 22 #BolsonaroNoPrimeiroTurno22|2022-09-18 18:52:18+00:00
1019857520|"@EliseCavi 2 semanas sem descanso, porque o outro lado vai atacar, vai infernizar, perseguir como um cão raivoso, então, nós, só precisamos intensificar nossa campanha. 
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:52:23+00:00
1165027719047983110|@silvana14416217 @silvana40602194 @LulaOficial @ricardostuckert Inveja de ti ,companheira! #LulaNo1oturno|2022-09-18 18:52:38+00:00
1019857520|"@kimpaim 2 semanas sem descanso, porque o outro lado vai atacar, vai infernizar, perseguir como um cão raivoso, então, nós, só precisamos intensificar nossa campanha. 
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:52:40+00:00
1436153269802479618|"@LulaOficial Chora condenado cachaceiro corrupto lavador de dinheiro!
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:52:45+00:00
1518963372276043779|"Hoje meu filho chamou o Lula de ladrão dentro do elevador na frente de uma família inteira de petistas HAAAAAAA HAHAHAHAHAHAHA
#BolsonaroReeleito 
#BolsonaroNoPrimeiroTurno22 
#BolsonaroReeleitoEm2022 
#BolsonaroReeleitoNoPrimeiroTurno 
#LulaLadrao"|2022-09-18 18:53:01+00:00
1396108734762455043|@soareslanna901 @Nilsonhandebol @LulaOficial Seguindo|2022-09-18 18:53:15+00:00
1409140422878900225|"@nives_z @FlavioBolsonaro @jairbolsonaro Torcendo pra chegar 1° de janeiro de 2022..
#LulaNo1oturno 
Aceita que dói menos..
Sai da frente com sua arminha que eu vou passar com o meu L"|2022-09-18 18:53:17+00:00
35794853|"Eu começo muitas mensagens que mando no zap com ""cara"". Reli algumas agora e me sinti o próprio Dinho Ouro Preto. Dito isso: Cara, hoje tô muito esperançoso que a gente resolve a eleição no 1° turno. #LulaNo1oturno #PrefiroLula"|2022-09-18 18:53:18+00:00
1514796778641506306|@_SouJB_22 Sim|2022-09-18 18:53:20+00:00
1561813969052090374|"Faz o L de LADRÃO!
#BolsonaroNoPrimeiroTurno22 🇧🇷"|2022-09-18 18:53:22+00:00
3368550094|@jleosilva3238 @Nilsonhandebol Seguindo 👊🚩 SDV|2022-09-18 18:53:31+00:00
327127404|@Jouberth19 @jairbolsonaro 2|2022-09-18 18:53:46+00:00
1439749882143809536|@LuizCor24841840 #LulaLadraoSeuLugarENaPrisao #BolsonaroNoPrimeiroTurno22 #STFRompeuADemocracia.....|2022-09-18 18:54:03+00:00
3456860355|@Dri63612445 @JackPosobiec #BolsonaroNoPrimeiroTurno22|2022-09-18 18:54:14+00:00
79166826|@Marcell36123027 @Nilsonhandebol @LulaOficial Seguindo|2022-09-18 18:54:21+00:00
1382041339626422276|@KatiaFerreiram ✊🏼❤ A partir de 2 de Outubro iremos chorar, só que de alívio e alegria! #LulaNo1oturno #LulaPresidente13 #juntospeloBrasil #oAmorvaivencer|2022-09-18 18:54:31+00:00
59791079|@DanielC42901179 Sim|2022-09-18 18:54:36+00:00
1019857520|"@silvionavarro 2 semanas sem descanso, porque o outro lado vai atacar, vai infernizar, perseguir como um cão raivoso, então, nós, só precisamos intensificar nossa campanha. 
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:54:47+00:00
1439749882143809536|@N_Carvalheira #LulaLadraoSeuLugarENaPrisao #BolsonaroNoPrimeiroTurno22 #STFRompeuADemocracia.....|2022-09-18 18:55:01+00:00
1019857520|"@mariarosa_moura 2 semanas sem descanso, porque o outro lado vai atacar, vai infernizar, perseguir como um cão raivoso, então, nós, só precisamos intensificar nossa campanha. 
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:55:04+00:00
1501048926388076545|@LulaOficial Porque ele gosta de aparecer é um idiota palhaço 🤡 #LulaNo1oturno|2022-09-18 18:55:06+00:00
1495472507427688450|@SamuelBoaNova #BolsonaroNoPrimeiroTurno22|2022-09-18 18:55:10+00:00
1278332860378894337|@LulaOficial Seu presidiário, ele não foi falar mal dos outros e sim a verdade sobre o quanto vc é ladrão. Ainda veremos vc voltar para Curitiba.#BolsonaroNoPrimeiroTurno22|2022-09-18 18:55:15+00:00
1561787308730449922|"@OtiliaFdeMoura @senadorhumberto @dilmabr Estudar mais? Se enxerga Bruxilda Madame Min... eu não sou UM escroto, mas eu tenho UM¯\_(ツ)_/¯ Chora pq será #BolsonaroNoPrimeiroTurno22 
Pega a tua vassoura e vai fazer um voo, vai. 🤡"|2022-09-18 18:55:16+00:00
1495472507427688450|@Jouberth19 #BolsonaroNoPrimeiroTurno22|2022-09-18 18:55:20+00:00
1495472507427688450|@ivan_aqui22 #BolsonaroNoPrimeiroTurno22|2022-09-18 18:55:30+00:00
1435210411331231755|@taliriapetrone Kkkkk chora esquerda kkkk #BolsonaroNoPrimeiroTurno22|2022-09-18 18:55:31+00:00
1495472507427688450|@denise47613384 #BolsonaroNoPrimeiroTurno22|2022-09-18 18:55:37+00:00
1560091703700250626|"@LulaOficial @dilmabr Desistam: a farsa acabou e lugar de Ladrão é na prisão!
#BolsonaroNoPrimeiroTurno22 2️⃣2️⃣👊🏼2️⃣2️⃣👊🏼2️⃣2️⃣"|2022-09-18 18:55:38+00:00
2263368579|"@NandagoFernanda Ele está chamando o povo pra votar no la-drão e evitar 2º turno.
Eu chamo pra votar 
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:55:42+00:00
3094977873|@JoanaDA26665016 #LulaNo1ºTurno|2022-09-18 18:55:45+00:00
1564275158927507462|#BolsonaroNoPrimeiroTurno22|2022-09-18 18:55:52+00:00
1495472507427688450|@ruancem #BolsonaroNoPrimeiroTurno22|2022-09-18 18:55:52+00:00
1495472507427688450|@ThiagoMacca1967 #BolsonaroNoPrimeiroTurno22|2022-09-18 18:55:58+00:00
1435210411331231755|@GugaNoblat Kkkk sai daí doidão #BolsonaroNoPrimeiroTurno22|2022-09-18 18:56:07+00:00
1019857520|"2 semanas sem descanso, porque o outro lado vai atacar, vai infernizar, perseguir como um cão raivoso, então, nós, só precisamos intensificar nossa campanha. 
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:56:11+00:00
843293307715424256|@RafaelMelooo15 #BolsonaroNoPrimeiroTurno22|2022-09-18 18:56:14+00:00
8433172|"@soghetti Despeito de esquerdista é mel na boca de patriota. Sofra mais.
#BolsonaroNoPrimeiroTurno22"|2022-09-18 18:56:18+00:00
